#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
576925000 ; 1.6638 ; 3.29681 ; 0 ; 0
577042000 ; 1.66502 ; 3.29689 ; 0 ; 0
577156000 ; 1.67354 ; 3.29727 ; 0 ; 0
577267000 ; 1.65893 ; 3.29697 ; 0 ; 0
577371000 ; 1.66624 ; 3.29704 ; 0 ; 0
577474000 ; 1.66624 ; 3.29674 ; 0 ; 0
577580000 ; 1.65041 ; 3.2988 ; 0 ; 0
577685000 ; 1.6565 ; 3.29697 ; 0 ; 0
577790000 ; 1.65406 ; 3.29697 ; 0 ; 0
577884000 ; 1.66258 ; 3.2975 ; 0 ; 0
577992000 ; 1.68937 ; 3.29712 ; 0 ; 0
578084000 ; 1.6565 ; 3.29674 ; 0 ; 0
578179000 ; 1.66989 ; 3.29704 ; 0 ; 0
578286000 ; 1.65406 ; 3.29666 ; 0 ; 0
578391000 ; 1.65771 ; 3.2991 ; 0 ; 0
578486000 ; 1.66258 ; 3.29872 ; 0 ; 0
578595000 ; 1.67354 ; 3.29704 ; 0 ; 0
578692000 ; 1.6565 ; 3.29697 ; 0 ; 0
578787000 ; 1.65528 ; 3.29697 ; 0 ; 0
578885000 ; 1.6638 ; 3.29659 ; 0 ; 0
578982000 ; 1.6845 ; 3.29849 ; 0 ; 0
579079000 ; 1.66015 ; 3.29956 ; 0 ; 0
579179000 ; 1.67841 ; 3.29689 ; 0 ; 0
579275000 ; 1.67111 ; 3.29735 ; 0 ; 0
579373000 ; 1.66745 ; 3.29811 ; 0 ; 0
579473000 ; 1.67598 ; 3.29659 ; 0 ; 0
579575000 ; 1.65771 ; 3.2972 ; 0 ; 0
579678000 ; 1.67354 ; 3.29681 ; 0 ; 0
579790000 ; 1.66137 ; 3.29704 ; 0 ; 0
579897000 ; 1.6565 ; 3.29681 ; 0 ; 0
579991000 ; 1.65528 ; 3.29926 ; 0 ; 0
580088000 ; 1.66137 ; 3.29681 ; 0 ; 0
580185000 ; 1.66137 ; 3.29903 ; 0 ; 0
580283000 ; 1.64919 ; 3.29903 ; 0 ; 0
580380000 ; 1.67354 ; 3.29849 ; 0 ; 0
580476000 ; 1.65163 ; 3.29697 ; 0 ; 0
580574000 ; 1.65893 ; 3.29674 ; 0 ; 0
580678000 ; 1.66745 ; 3.29674 ; 0 ; 0
580776000 ; 1.66258 ; 3.29681 ; 0 ; 0
580873000 ; 1.66015 ; 3.29666 ; 0 ; 0
580980000 ; 1.65285 ; 3.29681 ; 0 ; 0
581090000 ; 1.66137 ; 3.29689 ; 0 ; 0
581200000 ; 1.65285 ; 3.29689 ; 0 ; 0
581294000 ; 1.67232 ; 3.29704 ; 0 ; 0
581392000 ; 1.66137 ; 3.29674 ; 0 ; 0
581487000 ; 1.65771 ; 3.29697 ; 0 ; 0
581588000 ; 1.66624 ; 3.29681 ; 0 ; 0
581684000 ; 1.64919 ; 3.29681 ; 0 ; 0
581783000 ; 1.6638 ; 3.29903 ; 0 ; 0
581883000 ; 1.68085 ; 3.29681 ; 0 ; 0
581982000 ; 1.66258 ; 3.29933 ; 0 ; 0
582080000 ; 1.65163 ; 3.29895 ; 0 ; 0
582178000 ; 1.67232 ; 3.29941 ; 0 ; 0
582284000 ; 1.64798 ; 3.29689 ; 0 ; 0
582383000 ; 1.66989 ; 3.29697 ; 0 ; 0
582483000 ; 1.66989 ; 3.29865 ; 0 ; 0
582582000 ; 1.66502 ; 3.29926 ; 0 ; 0
582688000 ; 1.66989 ; 3.29689 ; 0 ; 0
582788000 ; 1.67598 ; 3.29712 ; 0 ; 0
582888000 ; 1.64432 ; 3.29697 ; 0 ; 0
582988000 ; 1.65285 ; 3.29689 ; 0 ; 0
583087000 ; 1.66745 ; 3.29735 ; 0 ; 0
583186000 ; 1.67111 ; 3.29887 ; 0 ; 0
583285000 ; 1.67598 ; 3.29697 ; 0 ; 0
