#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1144036000 ; 0.00117569 ; 3.29872 ; 0 ; 0
1144142000 ; 0.00196533 ; 3.29849 ; 0 ; 0
1144242000 ; 0.000393678 ; 3.29819 ; 0 ; 0
1144341000 ; 0.00166016 ; 3.29811 ; 0 ; 0
1144440000 ; 0.00144272 ; 3.30017 ; 0 ; 0
1144538000 ; 0.00117188 ; 3.30109 ; 0 ; 0
1144636000 ; 0.00126724 ; 3.29811 ; 0 ; 0
1144735000 ; 0.0017746 ; 3.29796 ; 0 ; 0
1144831000 ; 0.000832368 ; 3.29842 ; 0 ; 0
1144933000 ; 0.00104599 ; 3.29819 ; 0 ; 0
1145039000 ; 0.00106125 ; 3.29811 ; 0 ; 0
1145146000 ; 0.00127487 ; 3.29826 ; 0 ; 0
1145254000 ; 0.00187759 ; 3.29811 ; 0 ; 0
1145349000 ; 0.00177078 ; 3.29857 ; 0 ; 0
1145446000 ; 0.00157623 ; 3.29834 ; 0 ; 0
1145542000 ; 0.00118332 ; 3.29834 ; 0 ; 0
1145640000 ; 0.000599671 ; 3.29834 ; 0 ; 0
1145738000 ; 0.00195007 ; 3.29842 ; 0 ; 0
1145836000 ; 0.000626374 ; 3.29857 ; 0 ; 0
1145941000 ; 0.000714112 ; 3.29865 ; 0 ; 0
1146042000 ; 0.0795677 ; 3.29765 ; 0 ; 0
1146141000 ; 0.0819023 ; 3.29773 ; 0 ; 0
1146240000 ; 0.0840538 ; 3.29781 ; 0 ; 0
1146337000 ; 0.0749634 ; 3.29765 ; 0 ; 0
1146440000 ; 0.147801 ; 3.29758 ; 0 ; 0
1146542000 ; 0.154023 ; 3.29819 ; 0 ; 0
1146639000 ; 0.0808952 ; 3.29773 ; 0 ; 0
1146742000 ; 0.156091 ; 3.2975 ; 0 ; 0
1146841000 ; 0.154706 ; 3.29765 ; 0 ; 0
1146949000 ; 0.162877 ; 3.29765 ; 0 ; 0
1147049000 ; 0.151601 ; 3.29765 ; 0 ; 0
1147145000 ; 0.156503 ; 3.30048 ; 0 ; 0
1147245000 ; 0.227528 ; 3.29758 ; 0 ; 0
1147346000 ; 0.229668 ; 3.29781 ; 0 ; 0
1147443000 ; 0.232266 ; 3.29765 ; 0 ; 0
1147540000 ; 0.233811 ; 3.29765 ; 0 ; 0
1147637000 ; 0.230817 ; 3.29781 ; 0 ; 0
1147745000 ; 0.235024 ; 3.29765 ; 0 ; 0
1147843000 ; 0.289949 ; 3.29727 ; 0 ; 0
1147941000 ; 0.30821 ; 3.29758 ; 0 ; 0
1148041000 ; 0.298471 ; 3.2972 ; 0 ; 0
1148140000 ; 0.297253 ; 3.29765 ; 0 ; 0
1148238000 ; 0.305776 ; 3.29773 ; 0 ; 0
1148342000 ; 0.304558 ; 3.29758 ; 0 ; 0
1148441000 ; 0.296036 ; 3.29765 ; 0 ; 0
1148537000 ; 0.297253 ; 3.29781 ; 0 ; 0
1148637000 ; 0.297253 ; 3.29788 ; 0 ; 0
1148740000 ; 0.304558 ; 3.29742 ; 0 ; 0
1148837000 ; 0.360561 ; 3.29987 ; 0 ; 0
