#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1231033000 ; 3.20454 ; 3.29781 ; 0 ; 0
1231146000 ; 3.20941 ; 3.29811 ; 0 ; 0
1231263000 ; 3.23376 ; 3.29803 ; 0 ; 0
1231361000 ; 3.21184 ; 3.29811 ; 0 ; 0
1231462000 ; 3.20454 ; 3.29788 ; 0 ; 0
1231563000 ; 3.20697 ; 3.29956 ; 0 ; 0
1231668000 ; 3.21915 ; 3.29796 ; 0 ; 0
1231773000 ; 3.2228 ; 3.29811 ; 0 ; 0
1231868000 ; 3.23011 ; 3.29819 ; 0 ; 0
1231975000 ; 3.20819 ; 3.29796 ; 0 ; 0
1232074000 ; 3.20576 ; 3.29941 ; 0 ; 0
1232174000 ; 3.21428 ; 3.29826 ; 0 ; 0
1232276000 ; 3.20819 ; 3.29803 ; 0 ; 0
1232382000 ; 3.23863 ; 3.29918 ; 0 ; 0
1232483000 ; 3.20576 ; 3.29796 ; 0 ; 0
1232578000 ; 3.20819 ; 3.29788 ; 0 ; 0
1232676000 ; 3.20332 ; 3.29781 ; 0 ; 0
1232782000 ; 3.21063 ; 3.29781 ; 0 ; 0
1232878000 ; 3.20941 ; 3.29758 ; 0 ; 0
1232983000 ; 3.20089 ; 3.29758 ; 0 ; 0
1233093000 ; 3.21063 ; 3.29796 ; 0 ; 0
1233204000 ; 3.21306 ; 3.29803 ; 0 ; 0
1233298000 ; 3.20819 ; 3.29994 ; 0 ; 0
1233396000 ; 3.21063 ; 3.29788 ; 0 ; 0
1233492000 ; 3.20697 ; 3.29781 ; 0 ; 0
1233588000 ; 3.19967 ; 3.29811 ; 0 ; 0
1233686000 ; 3.2155 ; 3.29796 ; 0 ; 0
1233784000 ; 3.37742 ; 3.29788 ; 0 ; 0
1233884000 ; 3.5856 ; 3.29826 ; 0 ; 0
1233983000 ; 3.74996 ; 3.29803 ; 0 ; 0
1234082000 ; 3.92162 ; 3.29994 ; 0 ; 0
1234181000 ; 4.03606 ; 3.30002 ; 0 ; 0
1234278000 ; 4.05798 ; 3.29811 ; 0 ; 0
1234376000 ; 4.07989 ; 3.29811 ; 0 ; 0
1234476000 ; 4.20164 ; 3.30055 ; 0 ; 0
1234574000 ; 4.18946 ; 3.30032 ; 0 ; 0
1234678000 ; 4.27712 ; 3.29803 ; 0 ; 0
1234784000 ; 4.20529 ; 3.29826 ; 0 ; 0
1234880000 ; 4.08354 ; 3.29811 ; 0 ; 0
1234988000 ; 4.0665 ; 3.29796 ; 0 ; 0
1235097000 ; 4.1712 ; 3.29819 ; 0 ; 0
1235192000 ; 4.04337 ; 3.3004 ; 0 ; 0
1235289000 ; 3.9131 ; 3.29781 ; 0 ; 0
1235396000 ; 3.82544 ; 3.29811 ; 0 ; 0
1235504000 ; 3.83396 ; 3.29842 ; 0 ; 0
1235602000 ; 3.83153 ; 3.30048 ; 0 ; 0
1235694000 ; 3.84857 ; 3.29811 ; 0 ; 0
1235790000 ; 3.82179 ; 3.30017 ; 0 ; 0
1235887000 ; 4.01658 ; 3.29826 ; 0 ; 0
1235985000 ; 4.14807 ; 3.29826 ; 0 ; 0
1236082000 ; 4.29173 ; 3.29819 ; 0 ; 0
1236180000 ; 4.3039 ; 3.29948 ; 0 ; 0
1236280000 ; 4.30025 ; 3.29819 ; 0 ; 0
1236373000 ; 4.29538 ; 3.29826 ; 0 ; 0
1236480000 ; 4.31851 ; 3.29811 ; 0 ; 0
1236587000 ; 4.17364 ; 3.29811 ; 0 ; 0
1236694000 ; 4.15416 ; 3.29834 ; 0 ; 0
1236793000 ; 4.17485 ; 3.29803 ; 0 ; 0
1236891000 ; 4.17242 ; 3.29796 ; 0 ; 0
1236998000 ; 4.17972 ; 3.29857 ; 0 ; 0
1237093000 ; 4.18459 ; 3.29803 ; 0 ; 0
1237191000 ; 4.1712 ; 3.29788 ; 0 ; 0
1237288000 ; 4.16998 ; 3.29834 ; 0 ; 0
1237397000 ; 4.17364 ; 3.29826 ; 0 ; 0
1237492000 ; 4.15659 ; 3.29834 ; 0 ; 0
1237602000 ; 4.17364 ; 3.29811 ; 0 ; 0
1237695000 ; 4.14685 ; 3.29819 ; 0 ; 0
1237790000 ; 4.26981 ; 3.29842 ; 0 ; 0
1237890000 ; 4.29173 ; 3.29826 ; 0 ; 0
1237987000 ; 4.27955 ; 3.3007 ; 0 ; 0
1238086000 ; 4.29416 ; 3.29803 ; 0 ; 0
1238189000 ; 4.3039 ; 3.29819 ; 0 ; 0
1238292000 ; 4.28442 ; 3.29803 ; 0 ; 0
1238389000 ; 4.31243 ; 3.29834 ; 0 ; 0
1238498000 ; 4.30999 ; 3.29826 ; 0 ; 0
1238596000 ; 4.03606 ; 3.29834 ; 0 ; 0
1238690000 ; 4.07015 ; 3.29819 ; 0 ; 0
1238797000 ; 4.18094 ; 3.29834 ; 0 ; 0
1238895000 ; 4.30999 ; 3.30048 ; 0 ; 0
1238993000 ; 4.28199 ; 3.29819 ; 0 ; 0
1239088000 ; 4.30877 ; 3.30002 ; 0 ; 0
1239186000 ; 4.30512 ; 3.30032 ; 0 ; 0
1239285000 ; 4.31364 ; 3.29819 ; 0 ; 0
1239388000 ; 4.31121 ; 3.29872 ; 0 ; 0
1239487000 ; 4.29416 ; 3.29834 ; 0 ; 0
1239586000 ; 4.3173 ; 3.30055 ; 0 ; 0
1239684000 ; 4.3039 ; 3.29865 ; 0 ; 0
1239781000 ; 4.30756 ; 3.29857 ; 0 ; 0
1239887000 ; 4.31486 ; 3.29819 ; 0 ; 0
1239991000 ; 4.32703 ; 3.29834 ; 0 ; 0
1240091000 ; 4.0385 ; 3.30025 ; 0 ; 0
1240199000 ; 4.03119 ; 3.29842 ; 0 ; 0
1240294000 ; 4.17972 ; 3.29826 ; 0 ; 0
1240392000 ; 4.1505 ; 3.29803 ; 0 ; 0
1240491000 ; 4.15537 ; 3.30009 ; 0 ; 0
1240587000 ; 4.16511 ; 3.29788 ; 0 ; 0
1240685000 ; 4.14442 ; 3.29803 ; 0 ; 0
1240783000 ; 4.15416 ; 3.3007 ; 0 ; 0
1240881000 ; 4.15903 ; 3.29872 ; 0 ; 0
1240976000 ; 4.15416 ; 3.29826 ; 0 ; 0
1241084000 ; 4.03485 ; 3.29834 ; 0 ; 0
1241188000 ; 4.16998 ; 3.29826 ; 0 ; 0
1241287000 ; 4.03972 ; 3.29811 ; 0 ; 0
1241386000 ; 4.03728 ; 3.29803 ; 0 ; 0
1241481000 ; 3.61482 ; 3.29819 ; 0 ; 0
1241586000 ; 3.38838 ; 3.29796 ; 0 ; 0
1241685000 ; 3.41394 ; 3.29781 ; 0 ; 0
1241783000 ; 3.58439 ; 3.29826 ; 0 ; 0
1241888000 ; 3.22402 ; 3.29788 ; 0 ; 0
1241992000 ; 3.22767 ; 3.29834 ; 0 ; 0
1242099000 ; 3.21915 ; 3.29803 ; 0 ; 0
1242203000 ; 3.20697 ; 3.29803 ; 0 ; 0
1242302000 ; 3.22037 ; 3.29765 ; 0 ; 0
1242398000 ; 3.23498 ; 3.29819 ; 0 ; 0
1242495000 ; 3.2155 ; 3.29788 ; 0 ; 0
1242593000 ; 3.20697 ; 3.29788 ; 0 ; 0
1242692000 ; 3.1948 ; 3.29781 ; 0 ; 0
1242791000 ; 3.23254 ; 3.30017 ; 0 ; 0
1242892000 ; 3.21793 ; 3.29803 ; 0 ; 0
1242990000 ; 3.41638 ; 3.30032 ; 0 ; 0
1243094000 ; 3.56612 ; 3.29826 ; 0 ; 0
1243194000 ; 3.56978 ; 3.29796 ; 0 ; 0
1243301000 ; 3.57465 ; 3.29819 ; 0 ; 0
1243400000 ; 3.69396 ; 3.29826 ; 0 ; 0
1243499000 ; 3.85831 ; 3.29781 ; 0 ; 0
1243610000 ; 3.85101 ; 3.29826 ; 0 ; 0
1243704000 ; 4.13102 ; 3.29849 ; 0 ; 0
1243800000 ; 4.11155 ; 3.29819 ; 0 ; 0
1243907000 ; 4.12737 ; 3.29903 ; 0 ; 0
1244004000 ; 4.12981 ; 3.29971 ; 0 ; 0
1244100000 ; 4.13102 ; 3.29826 ; 0 ; 0
1244199000 ; 4.13833 ; 3.29803 ; 0 ; 0
1244298000 ; 4.11155 ; 3.29826 ; 0 ; 0
1244396000 ; 4.1505 ; 3.29819 ; 0 ; 0
1244501000 ; 4.12615 ; 3.29796 ; 0 ; 0
1244600000 ; 4.13224 ; 3.29819 ; 0 ; 0
1244698000 ; 4.13711 ; 3.29811 ; 0 ; 0
1244806000 ; 4.07259 ; 3.29849 ; 0 ; 0
1244902000 ; 4.04824 ; 3.29803 ; 0 ; 0
