#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
604434000 ; 4.74505 ; 3.30437 ; 0 ; 0
604529000 ; 4.71339 ; 3.30452 ; 0 ; 0
604614000 ; 4.74018 ; 3.30452 ; 0 ; 0
604709000 ; 4.75357 ; 3.30475 ; 0 ; 0
604807000 ; 4.74383 ; 3.30444 ; 0 ; 0
604894000 ; 4.71826 ; 3.30475 ; 0 ; 0
604981000 ; 4.72435 ; 3.3046 ; 0 ; 0
605070000 ; 4.73653 ; 3.30666 ; 0 ; 0
605159000 ; 4.74992 ; 3.30444 ; 0 ; 0
605251000 ; 4.76453 ; 3.3046 ; 0 ; 0
605340000 ; 4.74627 ; 3.30681 ; 0 ; 0
605428000 ; 4.73653 ; 3.30467 ; 0 ; 0
605522000 ; 4.76087 ; 3.30452 ; 0 ; 0
605612000 ; 4.76331 ; 3.30681 ; 0 ; 0
605701000 ; 4.73774 ; 3.30612 ; 0 ; 0
605796000 ; 5.02385 ; 3.30452 ; 0 ; 0
605884000 ; 4.96297 ; 3.30429 ; 0 ; 0
605980000 ; 4.96054 ; 3.30437 ; 0 ; 0
606068000 ; 4.8534 ; 3.30437 ; 0 ; 0
606170000 ; 4.83636 ; 3.30612 ; 0 ; 0
606263000 ; 4.85949 ; 3.30467 ; 0 ; 0
606361000 ; 4.86923 ; 3.30452 ; 0 ; 0
606447000 ; 4.84731 ; 3.3046 ; 0 ; 0
606542000 ; 4.86071 ; 3.30482 ; 0 ; 0
606626000 ; 4.85949 ; 3.30681 ; 0 ; 0
606712000 ; 4.9581 ; 3.3065 ; 0 ; 0
606804000 ; 4.96297 ; 3.30681 ; 0 ; 0
606899000 ; 4.87653 ; 3.3046 ; 0 ; 0
606985000 ; 4.84853 ; 3.30643 ; 0 ; 0
607079000 ; 4.88019 ; 3.30467 ; 0 ; 0
607165000 ; 4.88506 ; 3.30437 ; 0 ; 0
607264000 ; 4.88262 ; 3.30444 ; 0 ; 0
607356000 ; 4.88019 ; 3.30467 ; 0 ; 0
607440000 ; 4.85827 ; 3.3062 ; 0 ; 0
607528000 ; 4.83636 ; 3.30475 ; 0 ; 0
607623000 ; 5.14924 ; 3.30635 ; 0 ; 0
607709000 ; 5.18698 ; 3.30513 ; 0 ; 0
607808000 ; 5.21864 ; 3.30467 ; 0 ; 0
607903000 ; 5.09081 ; 3.30437 ; 0 ; 0
608007000 ; 4.84366 ; 3.30505 ; 0 ; 0
608102000 ; 4.87897 ; 3.3046 ; 0 ; 0
608190000 ; 4.87532 ; 3.30482 ; 0 ; 0
608286000 ; 4.85584 ; 3.30475 ; 0 ; 0
608374000 ; 4.85949 ; 3.30437 ; 0 ; 0
608464000 ; 4.86558 ; 3.30688 ; 0 ; 0
608553000 ; 5.12246 ; 3.30452 ; 0 ; 0
608643000 ; 5.13585 ; 3.30482 ; 0 ; 0
608746000 ; 5.05915 ; 3.30467 ; 0 ; 0
608842000 ; 5.04211 ; 3.3049 ; 0 ; 0
608938000 ; 5.0348 ; 3.30482 ; 0 ; 0
609032000 ; 5.02263 ; 3.30658 ; 0 ; 0
609119000 ; 4.94836 ; 3.30719 ; 0 ; 0
609214000 ; 4.96297 ; 3.30475 ; 0 ; 0
609300000 ; 5.00071 ; 3.30475 ; 0 ; 0
609386000 ; 4.94106 ; 3.30498 ; 0 ; 0
609479000 ; 4.98245 ; 3.30429 ; 0 ; 0
609569000 ; 4.96784 ; 3.30467 ; 0 ; 0
609658000 ; 4.96175 ; 3.30444 ; 0 ; 0
609753000 ; 4.99097 ; 3.30696 ; 0 ; 0
609840000 ; 4.96662 ; 3.30727 ; 0 ; 0
609930000 ; 4.96784 ; 3.30467 ; 0 ; 0
610027000 ; 4.96906 ; 3.3049 ; 0 ; 0
610114000 ; 5.00071 ; 3.30505 ; 0 ; 0
610211000 ; 4.98245 ; 3.30475 ; 0 ; 0
610307000 ; 5.00315 ; 3.30505 ; 0 ; 0
610402000 ; 4.96906 ; 3.30467 ; 0 ; 0
610497000 ; 4.99706 ; 3.30475 ; 0 ; 0
610591000 ; 4.97393 ; 3.30475 ; 0 ; 0
