#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
954256000 ; 2.26996 ; 3.30414 ; 0 ; 0
954369000 ; 2.25413 ; 3.30444 ; 0 ; 0
954485000 ; 2.2517 ; 3.30429 ; 0 ; 0
954593000 ; 2.26996 ; 3.30437 ; 0 ; 0
954697000 ; 2.2797 ; 3.30444 ; 0 ; 0
954794000 ; 2.24926 ; 3.3046 ; 0 ; 0
954901000 ; 2.25778 ; 3.3046 ; 0 ; 0
955007000 ; 2.27605 ; 3.30444 ; 0 ; 0
955114000 ; 2.26996 ; 3.3046 ; 0 ; 0
955211000 ; 2.24561 ; 3.30658 ; 0 ; 0
955320000 ; 2.26144 ; 3.30414 ; 0 ; 0
955429000 ; 2.34544 ; 3.30437 ; 0 ; 0
955529000 ; 2.3564 ; 3.30444 ; 0 ; 0
955638000 ; 2.26265 ; 3.30421 ; 0 ; 0
955743000 ; 2.25291 ; 3.30421 ; 0 ; 0
955861000 ; 2.26631 ; 3.30437 ; 0 ; 0
955973000 ; 2.25778 ; 3.3046 ; 0 ; 0
956088000 ; 2.27483 ; 3.30437 ; 0 ; 0
956199000 ; 2.26752 ; 3.3046 ; 0 ; 0
956300000 ; 2.28457 ; 3.30444 ; 0 ; 0
956400000 ; 2.37344 ; 3.30429 ; 0 ; 0
956506000 ; 2.3564 ; 3.30444 ; 0 ; 0
956615000 ; 2.27848 ; 3.3046 ; 0 ; 0
956728000 ; 2.26509 ; 3.30414 ; 0 ; 0
956835000 ; 2.29309 ; 3.30429 ; 0 ; 0
956945000 ; 2.28335 ; 3.30421 ; 0 ; 0
957059000 ; 2.27848 ; 3.3046 ; 0 ; 0
957177000 ; 2.27726 ; 3.30452 ; 0 ; 0
957288000 ; 2.27118 ; 3.30429 ; 0 ; 0
957394000 ; 2.2517 ; 3.30452 ; 0 ; 0
957500000 ; 2.26874 ; 3.30452 ; 0 ; 0
957598000 ; 2.34544 ; 3.30429 ; 0 ; 0
957704000 ; 2.26631 ; 3.30627 ; 0 ; 0
957814000 ; 2.259 ; 3.30444 ; 0 ; 0
957911000 ; 2.27848 ; 3.30658 ; 0 ; 0
958029000 ; 2.25535 ; 3.30452 ; 0 ; 0
958140000 ; 2.27239 ; 3.30437 ; 0 ; 0
958238000 ; 2.28213 ; 3.3046 ; 0 ; 0
958356000 ; 2.26509 ; 3.30467 ; 0 ; 0
958471000 ; 2.26387 ; 3.30475 ; 0 ; 0
958585000 ; 2.28092 ; 3.30429 ; 0 ; 0
958685000 ; 2.28213 ; 3.30452 ; 0 ; 0
958794000 ; 2.27118 ; 3.30444 ; 0 ; 0
958903000 ; 2.87625 ; 3.30421 ; 0 ; 0
959029000 ; 2.87382 ; 3.30452 ; 0 ; 0
959133000 ; 2.78007 ; 3.30452 ; 0 ; 0
959238000 ; 2.7959 ; 3.30482 ; 0 ; 0
959351000 ; 2.26874 ; 3.30444 ; 0 ; 0
959461000 ; 2.27848 ; 3.30521 ; 0 ; 0
959578000 ; 2.29066 ; 3.30429 ; 0 ; 0
959691000 ; 2.29066 ; 3.3046 ; 0 ; 0
959797000 ; 2.26509 ; 3.30429 ; 0 ; 0
959904000 ; 2.27726 ; 3.30437 ; 0 ; 0
960004000 ; 2.28213 ; 3.30498 ; 0 ; 0
960120000 ; 2.27848 ; 3.30429 ; 0 ; 0
960216000 ; 2.28213 ; 3.30444 ; 0 ; 0
960312000 ; 2.29796 ; 3.30437 ; 0 ; 0
960419000 ; 2.27239 ; 3.30414 ; 0 ; 0
960512000 ; 2.287 ; 3.30437 ; 0 ; 0
960619000 ; 2.28579 ; 3.30452 ; 0 ; 0
960725000 ; 2.27726 ; 3.30421 ; 0 ; 0
960835000 ; 3.72725 ; 3.3046 ; 0 ; 0
960936000 ; 3.65908 ; 3.30444 ; 0 ; 0
961059000 ; 3.65908 ; 3.30467 ; 0 ; 0
961171000 ; 3.66638 ; 3.30482 ; 0 ; 0
961282000 ; 3.6469 ; 3.3049 ; 0 ; 0
961384000 ; 5.00558 ; 3.30505 ; 0 ; 0
961494000 ; 5.01167 ; 3.30482 ; 0 ; 0
961593000 ; 5.01045 ; 3.30513 ; 0 ; 0
961701000 ; 5.01654 ; 3.30505 ; 0 ; 0
961802000 ; 4.99341 ; 3.30475 ; 0 ; 0
961911000 ; 4.99706 ; 3.30498 ; 0 ; 0
962024000 ; 5.01045 ; 3.30498 ; 0 ; 0
962128000 ; 4.96906 ; 3.3049 ; 0 ; 0
962241000 ; 5.01532 ; 3.30498 ; 0 ; 0
962342000 ; 4.99584 ; 3.30704 ; 0 ; 0
962453000 ; 5.00315 ; 3.30467 ; 0 ; 0
962564000 ; 5.00924 ; 3.30528 ; 0 ; 0
962678000 ; 4.9995 ; 3.3049 ; 0 ; 0
962792000 ; 5.01289 ; 3.30498 ; 0 ; 0
962900000 ; 5.02263 ; 3.30498 ; 0 ; 0
963001000 ; 5.03115 ; 3.30498 ; 0 ; 0
963117000 ; 4.9995 ; 3.30498 ; 0 ; 0
963214000 ; 5.02628 ; 3.3049 ; 0 ; 0
963310000 ; 5.01532 ; 3.30696 ; 0 ; 0
963423000 ; 4.98976 ; 3.30498 ; 0 ; 0
963532000 ; 4.98976 ; 3.30475 ; 0 ; 0
963638000 ; 5.00558 ; 3.30467 ; 0 ; 0
963746000 ; 4.97149 ; 3.3049 ; 0 ; 0
963863000 ; 4.99463 ; 3.30505 ; 0 ; 0
963965000 ; 4.99097 ; 3.30711 ; 0 ; 0
964088000 ; 5.01411 ; 3.3049 ; 0 ; 0
964200000 ; 5.01532 ; 3.30475 ; 0 ; 0
964306000 ; 4.98732 ; 3.30505 ; 0 ; 0
964411000 ; 4.98854 ; 3.30475 ; 0 ; 0
964509000 ; 5.00193 ; 3.3065 ; 0 ; 0
964616000 ; 5.01289 ; 3.30513 ; 0 ; 0
964712000 ; 5.02993 ; 3.30505 ; 0 ; 0
964810000 ; 5.03237 ; 3.30727 ; 0 ; 0
964913000 ; 5.01776 ; 3.30574 ; 0 ; 0
965032000 ; 5.00802 ; 3.3046 ; 0 ; 0
965132000 ; 4.99828 ; 3.30498 ; 0 ; 0
965227000 ; 5.02506 ; 3.30505 ; 0 ; 0
965319000 ; 5.00071 ; 3.30505 ; 0 ; 0
965431000 ; 5.02385 ; 3.30513 ; 0 ; 0
965525000 ; 5.02993 ; 3.3049 ; 0 ; 0
965624000 ; 4.9995 ; 3.30727 ; 0 ; 0
965731000 ; 4.9995 ; 3.30498 ; 0 ; 0
965842000 ; 5.01045 ; 3.3049 ; 0 ; 0
965951000 ; 5.00193 ; 3.30505 ; 0 ; 0
966064000 ; 4.99097 ; 3.30513 ; 0 ; 0
966178000 ; 4.97271 ; 3.30521 ; 0 ; 0
966290000 ; 5.02141 ; 3.3049 ; 0 ; 0
966399000 ; 4.99097 ; 3.3049 ; 0 ; 0
966504000 ; 4.99219 ; 3.3049 ; 0 ; 0
966604000 ; 4.9995 ; 3.30482 ; 0 ; 0
966712000 ; 5.02141 ; 3.30513 ; 0 ; 0
966816000 ; 5.00437 ; 3.3049 ; 0 ; 0
966915000 ; 5.00558 ; 3.30711 ; 0 ; 0
967025000 ; 5.01167 ; 3.30505 ; 0 ; 0
967122000 ; 5.02141 ; 3.30505 ; 0 ; 0
967236000 ; 5.02628 ; 3.30505 ; 0 ; 0
967331000 ; 4.9861 ; 3.30513 ; 0 ; 0
967424000 ; 5.00315 ; 3.30498 ; 0 ; 0
967530000 ; 5.02993 ; 3.3049 ; 0 ; 0
967627000 ; 5.00924 ; 3.30589 ; 0 ; 0
967723000 ; 2.27483 ; 3.3065 ; 0 ; 0
967831000 ; 2.25657 ; 3.30421 ; 0 ; 0
967929000 ; 2.30161 ; 3.30673 ; 0 ; 0
968046000 ; 2.27483 ; 3.30452 ; 0 ; 0
968154000 ; 2.26752 ; 3.30635 ; 0 ; 0
968260000 ; 2.28092 ; 3.30444 ; 0 ; 0
968375000 ; 2.27726 ; 3.30414 ; 0 ; 0
968480000 ; 2.26752 ; 3.30444 ; 0 ; 0
